feature_idx,stratum,pearson_r,n_predicted,holdout_coverage,firing_rate,max_f1_dom,best_concept,n_significant_concepts,unexplained_mass_fraction,unexplained_enrichment,causal_concept,causal_selectivity,causal_selectivity_z,causal_mean_delta_ce,summary
58,unexplained,0.688016176055236,13,1.0,0.0019496175716531418,0.012773503549396992,mz_low,49,0.9980142399612744,1.6235175648213558,,,,,"The feature activates on 173.128 m/z peaks in specific spectral configurations and ranks, often appearing as noise."
73,concept,0.8821310545369598,17,1.0,0.007431822604148126,0.3342211842536926,is_first_ion,50,0.3987371452268737,0.648644811969489,,,,,The feature activates on peaks around 129 m/z with high relative intensity and adjacent immonium or noise-series peaks.
296,concept,0.8487459290740951,16,1.0,0.013796559718870853,0.4952574074268341,is_first_ion,50,0.35252080145509,0.5734624719878226,,,,,"The feature activates on peaks near m/z 147.11 identified as y-ions, alongside specific nearby peak patterns."
641,concept,0.03652565622890404,15,1.0,0.07572160522947738,0.47141021490097046,mz_high,50,0.6919580311836527,1.1256412712001533,,,,,"The feature activates on clusters of moderate intensity ""noise"" peaks in the 300-500 m/z range."
818,concept,0.6245038319388251,13,1.0,0.0351339734335237,0.3796338438987732,is_I_ion,50,0.2579805937839919,0.4196693880917029,,,,,"The feature activates on peaks below 150 m/z that match internal and immonium ions, and when nearby context enhances signal magnitude."
885,unexplained,0.7905640892717363,16,1.0,0.0009536543256019558,0.006247211247682571,mz_low,50,0.9997168156712922,1.6262872262750434,,,,,"The feature activates on peaks at ∼183.15 m/z, regardless of relative intensity or spectral context."
897,unexplained,0.806399687697472,17,1.0,0.004246624563661481,0.027356373146176338,mz_low,49,0.9989141071088227,1.6249814218101168,,,,,The feature activates on peaks with an m/z value of approximately 199.18.
1380,concept,0.2598511925682015,17,1.0,0.06875411413883088,0.4685715138912201,mz_high,50,0.650535176290906,1.0582567291659333,,,,,The feature activates on noise peaks with m/z around 1150-1200 that have lower relative intensity than nearby y-ion peaks.
1409,unexplained,0.8645461828896501,14,1.0,0.0003419674788690571,0.002248171018436551,mz_low,50,0.9981475535361913,1.6237344323988316,,,,,"The feature activates on peaks with an m/z around 183.148 labeled as ""noise"" with moderate relative intensity."
1718,concept,0.9668283114638486,15,1.0,0.006969253962331876,0.36175617575645447,is_I_ion,50,0.0008104863022187344,0.0013184568866976118,,,,,The feature activates on peaks around m/z 136.075 associated with immonium ions (I) of moderate to high relative intensity within the spectrum.
1954,concept,0.23635841439654068,16,1.0,0.16911694720399292,0.4381045997142792,mz_mid,50,0.5754542825100688,0.9361190431942326,,,,,The feature activates on internal ions with specific spectral contexts that lack strong classic ion matches nearby.
2208,unexplained,0.5999137106196386,16,1.0,0.0006614324191658521,0.004271355923265219,mz_low,50,0.9978917233757062,1.623318261223584,,,,,"The feature activates on ""noise"" peaks with m/z near 131.118."
2298,unexplained,0.8733307526152755,16,1.0,0.0006950158654748172,0.00456947972998023,mz_low,48,0.9997683444886206,1.6263710506702047,,,,,"The feature activates on peaks around m/z 157.13 with moderate to high intensity, commonly classified as ""noise,"" and supported by specific nearby peak patterns."
