feature_idx,stratum,pearson_r,n_predicted,holdout_coverage,firing_rate,max_f1_dom,best_concept,n_significant_concepts,unexplained_mass_fraction,unexplained_enrichment,causal_concept,causal_selectivity,causal_selectivity_z,causal_mean_delta_ce,summary
85,concept,0.09033859478882661,14,1.0,0.0987053781437539,0.4195915162563324,mz_high,50,0.6323184355917821,1.0286226845655564,,,,,"The feature activates on high m/z peaks with moderate intensity, often related to y-ions and contextually influenced by nearby peaks."
99,unexplained,0.5887457165374959,10,1.0,0.0004147785236897734,0.0027314582839608192,mz_low,50,0.9975519714533997,1.6227655704988826,,,,,"The feature activates on peaks with m/z around 143.117 identified as ""noise""."
268,concept,0.5679224189452363,16,1.0,0.006405223907295467,0.3234497308731079,is_I_ion,50,0.0011541389529585266,0.0018774931131698117,,,,,"The feature activates on the presence of peaks matched to the immonium (I) ion series, primarily between 101.07 and 102.06 m/z, with nearby immonium peaks forming tight mass clusters around them."
296,concept,0.7438864004755384,14,1.0,0.010992067892188397,0.5402305126190186,is_first_ion,50,0.2356346476409069,0.38331816722409456,,,,,The feature activates on y-ion peaks around 147.113 with nearby Immonium ion peaks (136.08) at moderate relative intensity.
337,concept,0.4803585530173031,16,1.0,0.006400587110341472,0.3492331802845001,is_first_ion,50,0.2977214064666218,0.4843176714999922,,,,,The feature activates on peaks with m/z ~147 matching 'noise' or 'y' ions.
482,unexplained,0.9822219649637106,15,1.0,0.00012948959161299722,0.0008466673898510635,mz_low,50,0.9977504928099803,1.6230885146979686,,,,,"The feature activates on peaks with m/z values around 125.1074 (high) and 152.1065 (medium), regardless of intensity or ion type."
507,concept,0.30230335360871213,14,1.0,0.2867535673523275,0.3781645894050598,mz_mid,50,0.664239513515183,1.080550230908666,,,,,The feature activates on noise-labeled peaks with significant context of nearby noise in a mid m/z range and non-prominent intensity ranks.
510,unexplained,0.8841692741766285,14,1.0,0.000201885843095976,0.0013291587820276618,mz_low,50,0.9978041642275125,1.623175824563503,,,,,"The feature activates on tokens with an m/z around 166.061 and moderate relative intensity, marked as noise."
792,unexplained,0.47477111974660635,16,1.0,0.00047554574766832446,0.0015511872479692101,is_noise_peak,50,0.9991133484003688,1.6253055371618932,,,,,"The feature activates on tokens with a peak m/z around 359.02, often labeled as noise, irrespective of other peak properties."
794,unexplained,0.2813926007346817,11,1.0,0.00030115477724523745,0.0019832488615065813,mz_low,47,0.9973599230875139,1.6224531562237887,,,,,"The feature activates on peaks around m/z 173.13 and 187.14 labeled as ""noise,"" which are nearby y-ions like 147.11 in a particular spectral context."
890,unexplained,0.7987674529675134,15,1.0,0.0015312244203059412,0.010041681118309498,mz_low,50,0.999843500942801,1.6264933112738973,,,,,"The feature activates on peaks with m/z ~143.118, especially when adjacent to other low m/z peaks labeled as ""noise"" or ""immonium."""
940,concept,0.6370425602747833,16,1.0,0.10433004987371394,0.3191743791103363,has_neutral_loss,50,0.4116719194323344,0.6696864286906877,,,,,"The feature activates on peaks identified as y-ions, especially those near peaks indicating specific mass difference patterns, within a complex spectral context."
946,concept,0.5961174176533895,16,1.0,0.2599138755704427,0.2996096611022949,mz_mid,50,0.6315031536169864,1.0272964263285853,,,,,"The feature activates on peaks within a mid m/z range and medium to high relative intensities, often labeled ""noise,"" with contextual relevance indicated by closely spaced nearby noise peaks."
989,concept,-0.3586789357759802,14,1.0,0.0912116031918051,0.29113101959228516,mz_mid,49,0.5313477666321472,0.8643688612993767,,,,,The feature activates on internal and noise peaks with mid-range m/z in complex spectral contexts.
1223,concept,0.9415060933175345,16,1.0,0.006614264935467415,0.3419542908668518,is_I_ion,50,0.005304958155122944,0.008629829516078439,,,,,"The feature activates on peaks matched to the immonium ion series, particularly at m/z ~120.08, with medium to high relative intensity and immonium contextual peaks nearby."
1741,unexplained,0.4549919273347261,16,1.0,0.009636108471124347,0.06149089336395264,mz_low,50,0.9995124230254517,1.6259547309685083,,,,,The feature activates on peaks around 157.13 m/z with relatively high intensity and specific spectral context.
1792,unexplained,0.8015669894911807,12,1.0,0.00044073273539392294,0.0028975072782486677,mz_low,49,0.9995456351540862,1.6260087587288792,,,,,"The feature activates on noise peaks around m/z 183.15, with nearby peaks showing specific mass differences, highlighting spectral context instead of individual peak properties."
1814,unexplained,0.7387035858557344,16,1.0,0.0017483687326115484,0.011399976909160614,mz_low,49,0.99779451842493,1.6231601332744487,,,,,The feature activates on a consistent 'noise' peak around m/z 233.164 independent of surrounding spectral context.
1924,concept,0.5566849981610618,15,1.0,0.038432661894024896,0.46185824275016785,top_decile_intensity,50,0.246008762961662,0.40019423749277305,,,,,"The feature activates on the most intense y-ions, especially when modifications like +15.99 or +57.02 are present."
2033,unexplained,0.7876497638451154,17,1.0,0.0004052827190651388,0.002649824833497405,mz_low,50,0.997361006097707,1.6224549180083414,,,,,"The feature activates on peaks with m/z ~223.15 labelled as ""noise""."
